research_id,mission_id,country,experiment_type,research_domain,duration_days,data_generated_gb,personnel_required,equipment_count,resource_cost_musd,success,year
RSH-0006926,MSN-0065822,UK,Lidar Surface Mapping,Atmospheric Physics,385,456.8,22,10,5.67,True,2023
RSH-0006927,MSN-0018945,China,Radiation Profiling,Materials Science,82,492.7,39,14,43.7,False,2019
RSH-0006928,MSN-0036102,USA,Autonomous Navigation,Planetary Geology,375,373.8,20,13,19.46,True,1986
RSH-0006929,MSN-0096889,USA,Autonomous Navigation,Astrophysics,140,292.0,34,13,28.13,True,1976
RSH-0006930,MSN-0000697,USA,Cosmic Dust Analysis,Astrophysics,385,1466.2,29,15,14.64,True,1966
RSH-0006931,MSN-0006984,Russia,Plasma Physics,Atmospheric Physics,447,242.7,14,12,4.01,True,2015
RSH-0006932,MSN-0014057,Russia,Thermal Imaging,Planetary Geology,99,777.7,30,1,42.62,True,2016
RSH-0006933,MSN-0064949,USA,Gravitational Wave Detection,Relativistic Physics,41,2048.2,4,9,39.71,True,1989
RSH-0006934,MSN-0073744,Russia,Autonomous Navigation,Quantum Communications,337,874.0,8,6,24.74,True,1986
RSH-0006935,MSN-0013206,Japan,Fluid Dynamics,Quantum Communications,705,243.5,28,6,19.93,True,1985
RSH-0006936,MSN-0060920,USA,Plasma Physics,Planetary Geology,298,550.0,25,8,36.05,True,2023
RSH-0006937,MSN-0090156,China,Cosmic Dust Analysis,Relativistic Physics,160,614.6,5,11,48.06,True,2010
RSH-0006938,MSN-0072893,Japan,Lidar Surface Mapping,Atmospheric Physics,215,2577.3,3,7,13.15,True,2018
RSH-0006939,MSN-0068105,India,Spectroscopic Survey,Space Botany,79,900.8,9,14,33.59,True,2003
RSH-0006940,MSN-0079924,Russia,Fluid Dynamics,Microgravity Biology,594,2923.6,5,10,46.62,True,1961
RSH-0006941,MSN-0057674,India,Spectroscopic Survey,Quantum Communications,715,776.0,16,2,38.94,False,1999
RSH-0006942,MSN-0056298,USA,Lidar Surface Mapping,Planetary Geology,620,1892.5,20,14,18.36,True,1998
RSH-0006943,MSN-0055640,Other,Plasma Physics,Solar Dynamics,63,3272.0,3,11,29.94,True,2021
RSH-0006944,MSN-0077072,China,Autonomous Navigation,Atmospheric Physics,336,5982.7,4,11,4.21,True,1966
RSH-0006945,MSN-0059820,China,Orbital Crystallography,Planetary Geology,595,992.8,6,3,3.56,True,2020
RSH-0006946,MSN-0075711,Russia,Gravitational Wave Detection,Quantum Communications,221,310.7,43,3,4.03,False,2024
RSH-0006947,MSN-0026058,USA,Radiation Profiling,Space Botany,500,219.7,19,4,7.23,True,2010
RSH-0006948,MSN-0022849,Russia,Radiation Profiling,Solar Dynamics,668,1985.4,38,5,39.72,True,2002
RSH-0006949,MSN-0074673,USA,Lidar Surface Mapping,Atmospheric Physics,49,1405.1,30,2,27.31,True,2008
RSH-0006950,MSN-0076813,USA,Gravitational Wave Detection,Relativistic Physics,39,807.4,4,3,43.46,True,2013
RSH-0006951,MSN-0035945,ESA,Gravitational Wave Detection,Planetary Geology,100,314.8,11,12,8.0,True,1993
RSH-0006952,MSN-0043272,Germany,Autonomous Navigation,Astrophysics,59,708.1,15,10,3.02,True,2015
RSH-0006953,MSN-0013061,USA,Cosmic Dust Analysis,Relativistic Physics,132,2813.1,8,2,32.88,True,2001
RSH-0006954,MSN-0005494,India,Fluid Dynamics,Relativistic Physics,430,265.3,30,6,38.18,False,1991
RSH-0006955,MSN-0059826,Germany,Radiation Profiling,Quantum Communications,492,1219.4,28,13,43.96,True,1961
RSH-0006956,MSN-0050467,China,Cosmic Dust Analysis,Astrophysics,498,561.1,18,10,35.18,True,2021
RSH-0006957,MSN-0099613,China,Orbital Crystallography,Exoplanetology,20,276.6,42,8,11.04,False,1973
RSH-0006958,MSN-0037033,India,Radiation Profiling,Microgravity Biology,205,856.1,23,1,14.52,True,2008
RSH-0006959,MSN-0035507,USA,Autonomous Navigation,Relativistic Physics,374,4154.0,3,9,3.87,True,1970
RSH-0006960,MSN-0009067,France,Spectroscopic Survey,Atmospheric Physics,436,1217.1,44,4,17.73,True,2012
RSH-0006961,MSN-0083405,China,Autonomous Navigation,Planetary Geology,345,856.4,40,1,24.08,True,2009
RSH-0006962,MSN-0056351,USA,Plasma Physics,Planetary Geology,237,861.8,41,8,12.42,False,2003
RSH-0006963,MSN-0090314,India,Orbital Crystallography,Atmospheric Physics,318,434.8,15,13,15.76,True,2022
RSH-0006964,MSN-0013933,China,Orbital Crystallography,Materials Science,23,2699.0,17,11,2.32,False,2018
RSH-0006965,MSN-0078485,USA,Spectroscopic Survey,Space Botany,673,1738.1,36,12,16.45,True,2017
RSH-0006966,MSN-0068197,USA,Lidar Surface Mapping,Planetary Geology,559,347.8,32,7,35.03,True,2002
RSH-0006967,MSN-0098233,Russia,Radiation Profiling,Exoplanetology,611,376.4,22,11,37.68,False,2011
RSH-0006968,MSN-0052509,Russia,Cosmic Dust Analysis,Exoplanetology,524,398.9,37,11,34.21,True,1988
RSH-0006969,MSN-0050839,USA,Fluid Dynamics,Microgravity Biology,227,971.6,4,1,42.26,False,2001
RSH-0006970,MSN-0042380,USA,Gravitational Wave Detection,Astrophysics,473,571.8,9,10,13.3,False,1995
RSH-0006971,MSN-0006610,ESA,Lidar Surface Mapping,Astrophysics,448,1181.3,22,13,10.08,True,1981
RSH-0006972,MSN-0095579,Russia,Spectroscopic Survey,Exoplanetology,228,1313.0,19,10,41.78,True,1962
RSH-0006973,MSN-0000899,ESA,Plasma Physics,Relativistic Physics,324,444.0,9,3,12.26,True,2012
RSH-0006974,MSN-0034048,China,Cosmic Dust Analysis,Microgravity Biology,79,171.3,9,8,10.57,True,2005
RSH-0006975,MSN-0075293,USA,Gravitational Wave Detection,Space Botany,474,294.0,3,12,43.63,True,1999
RSH-0006976,MSN-0079384,USA,Fluid Dynamics,Planetary Geology,702,1234.7,26,1,39.78,True,2024
RSH-0006977,MSN-0048349,France,Radiation Profiling,Exoplanetology,222,399.7,16,12,16.54,True,2000
RSH-0006978,MSN-0039748,USA,Spectroscopic Survey,Relativistic Physics,331,3516.4,21,1,37.39,True,1999
RSH-0006979,MSN-0042571,USA,Thermal Imaging,Materials Science,357,952.5,37,4,18.62,True,2007
RSH-0006980,MSN-0077963,China,Radiation Profiling,Quantum Communications,545,3791.8,34,8,6.82,False,2008
RSH-0006981,MSN-0061134,India,Gravitational Wave Detection,Quantum Communications,168,968.2,3,3,21.41,True,2020
RSH-0006982,MSN-0069159,Russia,Autonomous Navigation,Space Botany,714,2427.6,20,3,20.77,True,1986
RSH-0006983,MSN-0008055,China,Plasma Physics,Microgravity Biology,414,488.3,13,10,32.48,True,2014
RSH-0006984,MSN-0075661,Germany,Spectroscopic Survey,Exoplanetology,437,5499.0,27,12,31.24,True,1998
RSH-0006985,MSN-0058367,USA,Radiation Profiling,Atmospheric Physics,322,262.8,35,14,25.27,False,2017
RSH-0006986,MSN-0093937,Other,Fluid Dynamics,Astrophysics,542,248.7,27,13,42.1,True,2015
RSH-0006987,MSN-0078435,Germany,Thermal Imaging,Solar Dynamics,311,711.7,28,5,5.13,True,2018
RSH-0006988,MSN-0012981,USA,Autonomous Navigation,Microgravity Biology,552,832.5,29,4,34.88,True,1981
RSH-0006989,MSN-0051708,China,Plasma Physics,Quantum Communications,165,8360.2,16,6,22.61,True,2014
RSH-0006990,MSN-0067725,USA,Plasma Physics,Space Botany,606,1819.9,10,5,2.37,True,2014
RSH-0006991,MSN-0009490,USA,Gravitational Wave Detection,Exoplanetology,221,571.0,44,6,22.42,True,1993
RSH-0006992,MSN-0096990,Germany,Cosmic Dust Analysis,Exoplanetology,274,2843.7,10,4,9.1,True,2020
RSH-0006993,MSN-0055192,USA,Thermal Imaging,Microgravity Biology,278,296.9,22,11,7.43,True,1971
RSH-0006994,MSN-0094151,Russia,Gravitational Wave Detection,Astrophysics,389,826.5,35,15,3.04,True,1996
RSH-0006995,MSN-0022067,Japan,Gravitational Wave Detection,Solar Dynamics,18,695.0,26,10,9.03,False,1992
RSH-0006996,MSN-0087714,ESA,Radiation Profiling,Planetary Geology,29,1649.0,6,8,18.75,True,1996
RSH-0006997,MSN-0083772,Russia,Orbital Crystallography,Solar Dynamics,558,414.8,15,6,43.87,False,1972
RSH-0006998,MSN-0009983,Russia,Cosmic Dust Analysis,Materials Science,223,1304.6,2,1,18.13,True,2001
RSH-0006999,MSN-0099960,USA,Fluid Dynamics,Planetary Geology,132,348.5,29,1,37.35,True,2006
RSH-0007000,MSN-0091056,USA,Spectroscopic Survey,Space Botany,154,2126.0,19,9,45.46,True,1991
RSH-0007001,MSN-0053270,China,Cosmic Dust Analysis,Quantum Communications,206,1394.9,34,1,29.32,True,2020
RSH-0007002,MSN-0068271,USA,Orbital Crystallography,Microgravity Biology,373,1136.9,32,11,16.13,True,1992
RSH-0007003,MSN-0018961,Russia,Orbital Crystallography,Atmospheric Physics,640,679.0,14,1,16.23,True,1970
RSH-0007004,MSN-0004189,Russia,Radiation Profiling,Relativistic Physics,101,181.7,21,4,35.41,True,1990
RSH-0007005,MSN-0019178,USA,Thermal Imaging,Astrophysics,588,2809.5,34,6,15.48,False,2012
RSH-0007006,MSN-0070927,USA,Radiation Profiling,Exoplanetology,567,1499.5,14,11,3.4,True,2020
RSH-0007007,MSN-0033329,Italy,Gravitational Wave Detection,Space Botany,466,1447.9,21,14,41.83,True,1977
RSH-0007008,MSN-0081521,ESA,Radiation Profiling,Planetary Geology,171,851.6,23,7,21.54,True,1983
RSH-0007009,MSN-0009465,Japan,Orbital Crystallography,Microgravity Biology,694,2473.6,37,10,39.65,True,2009
RSH-0007010,MSN-0091925,China,Orbital Crystallography,Quantum Communications,567,3398.7,20,5,11.05,True,2018
RSH-0007011,MSN-0036700,China,Cosmic Dust Analysis,Solar Dynamics,615,179.1,30,15,6.21,False,2024
RSH-0007012,MSN-0007611,China,Lidar Surface Mapping,Exoplanetology,239,338.4,24,12,27.08,True,2015
RSH-0007013,MSN-0075895,Russia,Thermal Imaging,Relativistic Physics,615,265.4,9,7,30.19,True,2009
RSH-0007014,MSN-0013772,USA,Cosmic Dust Analysis,Relativistic Physics,273,1159.5,27,6,19.05,True,2010
RSH-0007015,MSN-0050054,USA,Thermal Imaging,Planetary Geology,544,415.9,15,4,19.99,True,2015
RSH-0007016,MSN-0092106,USA,Cosmic Dust Analysis,Quantum Communications,277,850.9,20,4,31.31,False,2022
RSH-0007017,MSN-0053103,USA,Autonomous Navigation,Space Botany,469,235.4,6,11,38.52,True,2006
RSH-0007018,MSN-0047862,USA,Gravitational Wave Detection,Materials Science,106,621.8,30,15,45.58,True,1995
RSH-0007019,MSN-0036859,USA,Autonomous Navigation,Atmospheric Physics,33,4166.6,31,5,14.08,True,2008
RSH-0007020,MSN-0032579,China,Orbital Crystallography,Relativistic Physics,678,397.1,31,7,8.11,True,2010
RSH-0007021,MSN-0052060,USA,Lidar Surface Mapping,Atmospheric Physics,400,924.5,24,15,27.27,True,2014
RSH-0007022,MSN-0055318,Russia,Orbital Crystallography,Materials Science,347,560.1,22,15,44.59,True,1998
RSH-0007023,MSN-0047622,USA,Lidar Surface Mapping,Quantum Communications,429,2310.2,26,6,35.12,True,2024
RSH-0007024,MSN-0032182,USA,Gravitational Wave Detection,Atmospheric Physics,64,517.3,19,7,32.66,True,2006
RSH-0007025,MSN-0064617,Canada,Thermal Imaging,Atmospheric Physics,599,252.7,34,3,35.79,True,1999
RSH-0007026,MSN-0096123,UK,Spectroscopic Survey,Materials Science,395,424.3,13,9,1.44,True,2005
RSH-0007027,MSN-0034004,Russia,Spectroscopic Survey,Quantum Communications,653,697.1,13,12,10.07,True,2016
RSH-0007028,MSN-0084590,USA,Fluid Dynamics,Solar Dynamics,718,1465.4,21,7,34.95,True,2020
RSH-0007029,MSN-0014004,ESA,Plasma Physics,Planetary Geology,465,358.8,23,10,23.92,True,2024
RSH-0007030,MSN-0017344,Russia,Spectroscopic Survey,Solar Dynamics,130,428.9,25,4,46.7,True,2017
RSH-0007031,MSN-0056945,Russia,Lidar Surface Mapping,Quantum Communications,309,3154.9,32,4,17.87,True,2020
RSH-0007032,MSN-0087370,India,Orbital Crystallography,Planetary Geology,271,925.0,10,11,21.45,False,2024
RSH-0007033,MSN-0050787,Russia,Spectroscopic Survey,Microgravity Biology,516,3316.4,6,8,47.69,True,1978
RSH-0007034,MSN-0053659,USA,Gravitational Wave Detection,Quantum Communications,152,2612.6,10,8,40.36,True,1998
RSH-0007035,MSN-0042470,UAE,Spectroscopic Survey,Planetary Geology,119,5255.0,43,8,26.49,True,2021
RSH-0007036,MSN-0079243,Russia,Orbital Crystallography,Relativistic Physics,641,360.3,17,14,31.16,False,2018
RSH-0007037,MSN-0040872,India,Radiation Profiling,Astrophysics,169,1528.5,32,12,46.62,False,2002
RSH-0007038,MSN-0076011,Russia,Thermal Imaging,Quantum Communications,283,740.0,22,13,29.53,True,2016
RSH-0007039,MSN-0027677,China,Autonomous Navigation,Microgravity Biology,235,5969.0,11,10,4.05,True,2016
RSH-0007040,MSN-0065993,Japan,Cosmic Dust Analysis,Microgravity Biology,212,1476.7,37,6,38.72,False,1974
RSH-0007041,MSN-0059078,Canada,Spectroscopic Survey,Quantum Communications,466,2107.4,2,13,6.47,True,1999
RSH-0007042,MSN-0014622,China,Gravitational Wave Detection,Space Botany,22,214.5,14,3,5.46,False,1998
RSH-0007043,MSN-0004967,Brazil,Orbital Crystallography,Microgravity Biology,172,1729.6,42,14,24.18,False,1981
RSH-0007044,MSN-0078365,Japan,Cosmic Dust Analysis,Planetary Geology,251,3334.6,38,10,36.42,False,2023
RSH-0007045,MSN-0046831,India,Fluid Dynamics,Solar Dynamics,586,822.6,35,13,44.82,True,1998
RSH-0007046,MSN-0083170,Russia,Spectroscopic Survey,Exoplanetology,141,1507.8,38,7,15.15,True,2005
RSH-0007047,MSN-0025345,China,Thermal Imaging,Astrophysics,689,2786.7,22,8,4.18,True,2018
RSH-0007048,MSN-0015744,USA,Spectroscopic Survey,Quantum Communications,457,1758.3,22,8,32.69,True,1993
RSH-0007049,MSN-0014219,China,Cosmic Dust Analysis,Astrophysics,641,741.3,31,5,46.23,True,2020
RSH-0007050,MSN-0021397,UAE,Gravitational Wave Detection,Atmospheric Physics,376,383.2,3,4,24.44,True,2017
RSH-0007051,MSN-0022345,Russia,Orbital Crystallography,Atmospheric Physics,149,1358.1,30,2,17.16,False,1990
RSH-0007052,MSN-0072419,ESA,Plasma Physics,Quantum Communications,310,1397.3,42,13,29.37,False,1995
RSH-0007053,MSN-0009748,China,Fluid Dynamics,Astrophysics,526,1615.1,35,4,27.91,True,2003
RSH-0007054,MSN-0041102,USA,Autonomous Navigation,Atmospheric Physics,650,321.4,27,6,44.65,False,1977
RSH-0007055,MSN-0000253,India,Plasma Physics,Relativistic Physics,446,1305.5,34,6,45.27,True,2020
RSH-0007056,MSN-0066576,USA,Orbital Crystallography,Planetary Geology,339,670.6,26,10,2.92,True,1981
RSH-0007057,MSN-0037554,Russia,Spectroscopic Survey,Materials Science,564,1782.8,15,13,19.88,False,2015
RSH-0007058,MSN-0096458,USA,Gravitational Wave Detection,Relativistic Physics,685,341.9,12,5,44.9,True,1991
RSH-0007059,MSN-0076051,USA,Fluid Dynamics,Relativistic Physics,169,1457.0,3,3,45.0,True,2004
RSH-0007060,MSN-0089852,Brazil,Autonomous Navigation,Space Botany,617,1015.1,10,1,4.58,True,2008
RSH-0007061,MSN-0086751,USA,Orbital Crystallography,Atmospheric Physics,494,868.0,28,1,46.32,True,2008
RSH-0007062,MSN-0027621,USA,Lidar Surface Mapping,Materials Science,48,890.8,16,11,27.05,False,1970
RSH-0007063,MSN-0018953,USA,Radiation Profiling,Relativistic Physics,421,986.7,37,5,19.93,True,2018
RSH-0007064,MSN-0065058,Russia,Radiation Profiling,Solar Dynamics,658,517.9,33,12,9.9,True,1994
RSH-0007065,MSN-0074291,India,Lidar Surface Mapping,Atmospheric Physics,554,2590.4,31,15,19.92,True,2004
RSH-0007066,MSN-0094632,Russia,Lidar Surface Mapping,Space Botany,280,367.9,17,1,32.22,True,2023
RSH-0007067,MSN-0045787,USA,Cosmic Dust Analysis,Relativistic Physics,612,788.8,12,7,34.67,True,1996
RSH-0007068,MSN-0073699,USA,Orbital Crystallography,Astrophysics,562,670.1,15,3,38.06,True,1987
RSH-0007069,MSN-0022308,China,Gravitational Wave Detection,Microgravity Biology,648,1191.4,42,5,39.01,True,2007
RSH-0007070,MSN-0002544,Japan,Plasma Physics,Solar Dynamics,471,371.2,9,6,25.92,True,2001
RSH-0007071,MSN-0001472,Canada,Orbital Crystallography,Astrophysics,241,868.3,35,1,23.78,True,1975
RSH-0007072,MSN-0023297,USA,Fluid Dynamics,Quantum Communications,697,167.7,5,7,28.13,True,1998
RSH-0007073,MSN-0018055,USA,Cosmic Dust Analysis,Atmospheric Physics,316,1958.5,29,9,6.29,True,1977
RSH-0007074,MSN-0031919,USA,Gravitational Wave Detection,Relativistic Physics,510,1189.3,17,10,11.96,True,1986
RSH-0007075,MSN-0055259,USA,Spectroscopic Survey,Materials Science,108,2032.1,22,9,44.54,True,1998
RSH-0007076,MSN-0035973,Japan,Thermal Imaging,Exoplanetology,611,830.7,14,13,30.43,False,2006
RSH-0007077,MSN-0038113,USA,Radiation Profiling,Planetary Geology,692,833.3,38,5,19.01,True,1979
RSH-0007078,MSN-0097055,Germany,Plasma Physics,Solar Dynamics,439,579.3,16,4,35.73,False,1978
RSH-0007079,MSN-0067040,Germany,Gravitational Wave Detection,Space Botany,198,423.3,38,10,37.7,True,2023
RSH-0007080,MSN-0029969,USA,Cosmic Dust Analysis,Astrophysics,574,1092.3,35,15,43.63,True,1990
RSH-0007081,MSN-0077977,Japan,Gravitational Wave Detection,Astrophysics,143,979.3,29,7,6.47,True,1981
RSH-0007082,MSN-0012903,ESA,Plasma Physics,Microgravity Biology,79,827.9,15,10,24.98,False,1991
RSH-0007083,MSN-0009912,Other,Cosmic Dust Analysis,Relativistic Physics,239,994.8,30,11,22.19,True,2017
RSH-0007084,MSN-0075221,India,Radiation Profiling,Quantum Communications,455,933.0,23,3,3.89,True,1987
RSH-0007085,MSN-0081143,China,Thermal Imaging,Quantum Communications,41,444.0,2,12,4.11,True,2018
RSH-0007086,MSN-0075736,Russia,Plasma Physics,Exoplanetology,714,3729.9,19,13,42.48,True,2023
RSH-0007087,MSN-0092534,Russia,Autonomous Navigation,Materials Science,536,3125.5,34,12,36.91,True,1972
RSH-0007088,MSN-0072541,Russia,Fluid Dynamics,Atmospheric Physics,664,447.9,9,4,12.39,True,2015
RSH-0007089,MSN-0087698,Russia,Plasma Physics,Astrophysics,605,2881.8,13,15,3.96,True,2004
RSH-0007090,MSN-0079690,China,Gravitational Wave Detection,Planetary Geology,103,632.9,37,4,11.76,True,2005
RSH-0007091,MSN-0060057,Russia,Radiation Profiling,Quantum Communications,150,2468.2,6,8,36.77,True,1982
RSH-0007092,MSN-0090867,India,Gravitational Wave Detection,Solar Dynamics,698,862.5,31,5,36.28,True,1991
RSH-0007093,MSN-0060296,USA,Thermal Imaging,Quantum Communications,259,205.5,2,2,5.33,True,1983
RSH-0007094,MSN-0018304,China,Spectroscopic Survey,Relativistic Physics,237,228.0,13,7,45.72,False,1994
RSH-0007095,MSN-0099986,China,Orbital Crystallography,Relativistic Physics,170,440.7,34,7,2.13,True,1982
RSH-0007096,MSN-0011221,ESA,Orbital Crystallography,Solar Dynamics,521,637.8,36,8,2.97,True,2023
RSH-0007097,MSN-0096283,USA,Cosmic Dust Analysis,Planetary Geology,291,249.2,39,7,5.93,True,1985
RSH-0007098,MSN-0008076,USA,Radiation Profiling,Astrophysics,580,1426.2,7,2,6.02,True,2019
RSH-0007099,MSN-0041655,Russia,Radiation Profiling,Solar Dynamics,53,1175.5,5,8,13.95,True,1977
RSH-0007100,MSN-0095036,USA,Radiation Profiling,Solar Dynamics,694,1870.7,12,4,28.0,True,1986
RSH-0007101,MSN-0046879,USA,Plasma Physics,Solar Dynamics,236,1255.7,36,15,47.88,True,2024
RSH-0007102,MSN-0004975,China,Radiation Profiling,Materials Science,336,1080.3,26,12,39.01,True,1978
RSH-0007103,MSN-0013667,USA,Radiation Profiling,Astrophysics,412,794.2,20,14,3.35,True,2010
RSH-0007104,MSN-0047730,USA,Fluid Dynamics,Solar Dynamics,341,205.2,10,8,28.51,True,1997
RSH-0007105,MSN-0097040,Russia,Spectroscopic Survey,Solar Dynamics,133,1265.1,39,4,39.64,True,1989
RSH-0007106,MSN-0067824,France,Thermal Imaging,Planetary Geology,540,627.0,22,5,36.48,True,2016
RSH-0007107,MSN-0072637,Canada,Orbital Crystallography,Quantum Communications,370,277.8,32,9,24.04,True,2018
RSH-0007108,MSN-0020167,USA,Radiation Profiling,Solar Dynamics,143,540.7,6,3,26.38,False,1981
RSH-0007109,MSN-0097025,USA,Thermal Imaging,Space Botany,371,784.7,44,4,1.71,True,1996
RSH-0007110,MSN-0011113,UK,Autonomous Navigation,Microgravity Biology,485,7892.8,19,14,20.83,True,1991
RSH-0007111,MSN-0021030,UK,Lidar Surface Mapping,Microgravity Biology,673,1239.0,37,10,20.88,True,1997
RSH-0007112,MSN-0036092,Russia,Fluid Dynamics,Astrophysics,599,746.5,7,4,42.5,True,2013
RSH-0007113,MSN-0026832,USA,Fluid Dynamics,Microgravity Biology,631,1707.2,2,6,34.88,True,1993
RSH-0007114,MSN-0053843,ESA,Fluid Dynamics,Atmospheric Physics,389,587.4,34,5,14.64,True,2024
RSH-0007115,MSN-0060446,ESA,Gravitational Wave Detection,Quantum Communications,154,3057.8,3,4,40.82,True,2002
RSH-0007116,MSN-0046581,China,Plasma Physics,Quantum Communications,61,2399.3,32,6,44.53,True,2006
RSH-0007117,MSN-0069849,USA,Spectroscopic Survey,Astrophysics,613,404.3,22,2,14.32,True,1980
RSH-0007118,MSN-0098064,Russia,Spectroscopic Survey,Relativistic Physics,262,446.5,39,13,22.91,True,2012
RSH-0007119,MSN-0005008,China,Cosmic Dust Analysis,Materials Science,664,899.4,34,4,22.03,True,2009
RSH-0007120,MSN-0093294,Russia,Thermal Imaging,Materials Science,373,737.8,19,9,1.47,True,2014
RSH-0007121,MSN-0010410,China,Lidar Surface Mapping,Materials Science,541,771.9,14,6,18.26,True,2016
RSH-0007122,MSN-0018448,USA,Gravitational Wave Detection,Exoplanetology,170,805.7,29,13,2.83,True,2012
RSH-0007123,MSN-0049956,USA,Orbital Crystallography,Atmospheric Physics,327,821.6,22,10,47.99,True,1994
RSH-0007124,MSN-0064249,India,Autonomous Navigation,Solar Dynamics,84,1161.5,29,9,7.46,True,2000
RSH-0007125,MSN-0007404,USA,Plasma Physics,Relativistic Physics,302,649.9,14,4,14.87,True,2021
RSH-0007126,MSN-0054190,UAE,Orbital Crystallography,Astrophysics,510,1033.9,44,11,31.76,True,2024
RSH-0007127,MSN-0098124,India,Fluid Dynamics,Exoplanetology,633,840.6,21,13,22.47,True,1999
RSH-0007128,MSN-0088922,USA,Lidar Surface Mapping,Space Botany,42,319.3,32,10,15.67,True,1970
RSH-0007129,MSN-0075430,Russia,Cosmic Dust Analysis,Planetary Geology,667,362.9,27,1,34.76,True,2012
RSH-0007130,MSN-0082595,UK,Cosmic Dust Analysis,Space Botany,591,2541.6,33,10,7.55,False,2017
RSH-0007131,MSN-0094748,ESA,Spectroscopic Survey,Exoplanetology,556,1400.3,40,5,3.42,True,1965
RSH-0007132,MSN-0034262,Russia,Fluid Dynamics,Solar Dynamics,460,205.6,2,4,17.51,True,2010
RSH-0007133,MSN-0019539,ESA,Plasma Physics,Space Botany,275,844.3,14,12,40.72,True,2014
RSH-0007134,MSN-0065372,Russia,Fluid Dynamics,Planetary Geology,485,1262.1,44,2,2.11,True,1990
RSH-0007135,MSN-0064093,China,Radiation Profiling,Materials Science,79,609.2,5,5,34.8,True,1998
RSH-0007136,MSN-0006259,USA,Orbital Crystallography,Relativistic Physics,624,317.1,15,6,34.36,False,2018
RSH-0007137,MSN-0041402,Russia,Orbital Crystallography,Relativistic Physics,517,560.9,11,6,14.03,False,2013
RSH-0007138,MSN-0028233,USA,Plasma Physics,Microgravity Biology,163,682.3,35,15,45.02,True,1993
RSH-0007139,MSN-0029485,Russia,Radiation Profiling,Relativistic Physics,447,1193.9,34,6,16.19,False,2022
RSH-0007140,MSN-0046091,Other,Autonomous Navigation,Solar Dynamics,310,5081.4,16,10,5.38,False,1975
RSH-0007141,MSN-0015567,USA,Spectroscopic Survey,Quantum Communications,558,1604.5,28,2,3.53,True,1965
RSH-0007142,MSN-0092125,Japan,Autonomous Navigation,Atmospheric Physics,712,302.3,16,12,35.03,True,2017
RSH-0007143,MSN-0076978,USA,Plasma Physics,Solar Dynamics,59,425.2,35,15,34.39,True,2000
RSH-0007144,MSN-0005583,UK,Orbital Crystallography,Space Botany,681,848.7,13,15,11.21,False,2016
RSH-0007145,MSN-0003868,India,Radiation Profiling,Planetary Geology,423,2157.9,34,3,15.15,True,2020
RSH-0007146,MSN-0073335,UK,Fluid Dynamics,Space Botany,256,1752.8,40,11,41.45,False,2020
RSH-0007147,MSN-0010107,USA,Lidar Surface Mapping,Relativistic Physics,161,3317.1,44,2,13.2,True,1994
RSH-0007148,MSN-0015601,China,Gravitational Wave Detection,Atmospheric Physics,131,1156.7,43,14,15.44,True,1985
RSH-0007149,MSN-0096289,Germany,Thermal Imaging,Relativistic Physics,610,450.4,25,7,15.08,True,2014
RSH-0007150,MSN-0001588,Russia,Fluid Dynamics,Relativistic Physics,471,224.3,35,14,22.14,True,1997
RSH-0007151,MSN-0098760,China,Plasma Physics,Astrophysics,148,2495.0,29,1,43.35,True,2010
RSH-0007152,MSN-0034650,China,Cosmic Dust Analysis,Relativistic Physics,374,2172.0,10,7,29.23,True,1991
RSH-0007153,MSN-0070191,China,Cosmic Dust Analysis,Quantum Communications,196,332.8,3,6,2.5,True,1998
RSH-0007154,MSN-0070459,India,Plasma Physics,Quantum Communications,192,997.9,27,10,4.83,False,2012
RSH-0007155,MSN-0041587,ESA,Lidar Surface Mapping,Atmospheric Physics,635,1129.7,39,3,1.95,True,1996
RSH-0007156,MSN-0085085,India,Fluid Dynamics,Planetary Geology,77,1642.8,11,15,20.81,True,1993
RSH-0007157,MSN-0083808,USA,Autonomous Navigation,Materials Science,539,2217.0,21,1,3.22,False,2007
RSH-0007158,MSN-0048548,China,Cosmic Dust Analysis,Materials Science,705,1405.9,9,15,26.93,True,2016
RSH-0007159,MSN-0035590,Russia,Plasma Physics,Exoplanetology,91,1079.6,34,7,5.55,False,2002
RSH-0007160,MSN-0040564,USA,Gravitational Wave Detection,Atmospheric Physics,470,1732.5,9,4,13.81,True,2008
RSH-0007161,MSN-0070835,USA,Radiation Profiling,Space Botany,422,599.4,39,6,35.37,False,2019
RSH-0007162,MSN-0029706,USA,Fluid Dynamics,Relativistic Physics,640,269.7,22,9,24.52,True,1982
RSH-0007163,MSN-0009933,UK,Autonomous Navigation,Astrophysics,506,2366.2,23,12,43.56,True,2019
RSH-0007164,MSN-0079475,Russia,Gravitational Wave Detection,Quantum Communications,212,3484.8,12,10,2.59,True,1975
RSH-0007165,MSN-0073428,Israel,Gravitational Wave Detection,Planetary Geology,706,696.5,13,2,17.02,True,1989
RSH-0007166,MSN-0079150,Germany,Orbital Crystallography,Relativistic Physics,378,337.7,37,10,29.87,False,2021
RSH-0007167,MSN-0015818,UK,Fluid Dynamics,Atmospheric Physics,190,727.2,34,9,11.95,True,1975
RSH-0007168,MSN-0035935,USA,Cosmic Dust Analysis,Solar Dynamics,268,1991.4,42,9,6.61,True,2020
RSH-0007169,MSN-0057269,USA,Lidar Surface Mapping,Quantum Communications,316,1288.7,30,11,8.59,True,1991
